sale_id,product_id,warehouse_id,sale_date,quantity_sold,unit_price,revenue
SALE00032,P014,WH03,2026-05-12,4,667.89,2671.56
SALE00033,P015,WH03,2026-05-13,6,2782.6,16695.6
SALE00034,P001,WH02,2026-06-08,2,173.8,347.6
SALE00035,P010,WH02,2026-05-08,12,819.62,9835.44
SALE00036,P005,WH03,2026-06-25,8,2551.51,20412.08
SALE00037,P019,WH01,2026-06-22,6,1425.97,8555.82
SALE00038,P003,WH02,2026-05-23,20,480.35,9607.0
SALE00039,P016,WH01,2026-05-31,19,2907.89,55249.91
SALE00040,P015,WH02,2026-05-30,9,2782.6,25043.4
SALE00041,P022,WH02,2026-06-02,1,3193.14,3193.14
SALE00042,P022,WH01,2026-06-06,18,3193.14,57476.52
SALE00043,P015,WH03,2026-05-10,12,2782.6,33391.2
SALE00044,P021,WH03,2026-06-08,14,3524.01,49336.14
SALE00045,P015,WH01,2026-06-02,10,2782.6,27826.0
SALE00046,P016,WH01,2026-06-19,4,2907.89,11631.56
SALE00047,P019,WH03,2026-06-18,12,1425.97,17111.64
SALE00048,P023,WH01,2026-06-07,10,858.84,8588.4
SALE00049,P009,WH03,2026-06-20,1,3505.79,3505.79
SALE00050,P020,WH02,2026-05-07,16,1882.4,30118.4
SALE00051,P020,WH01,2026-05-30,12,1882.4,22588.8
SALE00052,P020,WH03,2026-05-25,9,1882.4,16941.6
SALE00053,P021,WH03,2026-05-18,4,3524.01,14096.04
SALE00054,P010,WH01,2026-05-06,15,819.62,12294.3
SALE00055,P024,WH01,2026-06-16,5,4948.14,24740.7
SALE00056,P011,WH01,2026-06-07,14,509.09,7127.26
SALE00057,P005,WH02,2026-05-26,18,2551.51,45927.18
SALE00058,P017,WH01,2026-07-07,9,3323.25,29909.25
SALE00059,P016,WH03,2026-06-02,10,2907.89,29078.9
SALE00060,P004,WH01,2026-06-13,15,197.5,2962.5
SALE00061,P025,WH03,2026-05-19,8,3438.84,27510.72
SALE00062,P018,WH01,2026-06-20,12,4283.82,51405.84
SALE00063,P001,WH03,2026-06-20,9,173.8,1564.2
SALE00064,P015,WH03,2026-05-16,12,2782.6,33391.2
SALE00065,P019,WH03,2026-06-03,13,1425.97,18537.61
SALE00066,P004,WH02,2026-06-17,8,197.5,1580.0
SALE00067,P020,WH02,2026-05-04,18,1882.4,33883.2
SALE00068,P021,WH03,2026-05-29,3,3524.01,10572.03
SALE00069,P023,WH03,2026-06-29,10,858.84,8588.4
SALE00070,P004,WH01,2026-06-22,5,197.5,987.5
SALE00071,P010,WH01,2026-05-05,16,819.62,13113.92
SALE00072,P008,WH01,2026-05-13,18,100.0,1800.0
SALE00073,P015,WH03,2026-06-19,12,2782.6,33391.2
SALE00074,P014,WH03,2026-07-09,19,667.89,12689.91
SALE00075,P014,WH02,2026-05-20,4,667.89,2671.56
SALE00076,P009,WH03,2026-06-22,2,3505.79,7011.58
SALE00077,P007,WH02,2026-06-17,15,1141.18,17117.7
SALE00078,P012,WH03,2026-05-31,4,4245.1,16980.4
SALE00079,P018,WH01,2026-06-17,12,4283.82,51405.84
SALE00080,P009,WH01,2026-06-20,7,3505.79,24540.53
SALE00081,P003,WH03,2026-06-28,7,480.35,3362.45
SALE00082,P002,WH01,2026-05-03,11,1154.89,12703.79
SALE00083,P019,WH01,2026-05-17,7,1425.97,9981.79
SALE00084,P007,WH01,2026-07-10,19,1141.18,21682.42
SALE00085,P011,WH03,2026-05-30,5,509.09,2545.45
SALE00086,P009,WH01,2026-05-01,5,3505.79,17528.95
SALE00087,P009,WH01,2026-07-09,6,3505.79,21034.74
SALE00088,P005,WH02,2026-05-04,1,2551.51,2551.51
SALE00089,P019,WH01,2026-05-31,11,1425.97,15685.67
SALE00090,P009,WH01,2026-05-23,2,3505.79,7011.58
SALE00091,P017,WH03,2026-06-23,4,3323.25,13293.0
SALE00092,P016,WH02,2026-05-09,15,2907.89,43618.35
SALE00093,P019,WH02,2026-07-05,4,1425.97,5703.88
SALE00094,P008,WH01,2026-07-04,20,100.0,2000.0
SALE00095,P010,WH03,2026-07-06,15,819.62,12294.3
SALE00096,P002,WH02,2026-05-04,16,1154.89,18478.24
SALE00097,P022,WH02,2026-06-24,4,3193.14,12772.56
SALE00098,P003,WH02,2026-06-26,3,480.35,1441.05
SALE00099,P003,WH02,2026-05-19,5,480.35,2401.75
SALE00100,P023,WH02,2026-07-10,11,858.84,9447.24
SALE00101,P010,WH03,2026-07-07,15,819.62,12294.3
SALE00102,P004,WH03,2026-06-25,4,197.5,790.0
SALE00103,P024,WH02,2026-07-10,7,4948.14,34636.98
SALE00104,P008,WH02,2026-06-27,14,100.0,1400.0
SALE00105,P013,WH03,2026-06-28,14,4045.28,56633.92
SALE00106,P011,WH02,2026-05-13,14,509.09,7127.26
SALE00107,P012,WH03,2026-06-02,5,4245.1,21225.5
SALE00108,P003,WH01,2026-06-30,3,480.35,1441.05
SALE00109,P014,WH03,2026-05-12,4,667.89,2671.56
SALE00110,P005,WH01,2026-06-17,18,2551.51,45927.18
SALE00111,P018,WH03,2026-07-11,11,4283.82,47122.02
SALE00112,P014,WH03,2026-05-16,12,667.89,8014.68
SALE00113,P024,WH02,2026-06-24,2,4948.14,9896.28
SALE00114,P012,WH03,2026-06-09,4,4245.1,16980.4
SALE00115,P007,WH03,2026-07-04,5,1141.18,5705.9
SALE00116,P008,WH02,2026-07-01,4,100.0,400.0
SALE00117,P012,WH02,2026-07-11,4,4245.1,16980.4
SALE00118,P014,WH03,2026-05-29,18,667.89,12022.02
SALE00119,P001,WH03,2026-07-11,20,173.8,3476.0
SALE00120,P001,WH02,2026-06-04,6,173.8,1042.8
SALE00121,P011,WH01,2026-06-09,12,509.09,6109.08
SALE00122,P005,WH03,2026-05-24,19,2551.51,48478.69
SALE00123,P003,WH03,2026-06-21,5,480.35,2401.75
SALE00124,P003,WH01,2026-05-04,17,480.35,8165.95
SALE00125,P014,WH02,2026-06-18,15,667.89,10018.35
SALE00126,P012,WH03,2026-05-21,10,4245.1,42451.0
SALE00127,P025,WH03,2026-06-11,19,3438.84,65337.96
SALE00128,P002,WH01,2026-05-11,5,1154.89,5774.45
SALE00129,P022,WH02,2026-05-07,3,3193.14,9579.42
SALE00130,P022,WH02,2026-06-26,14,3193.14,44703.96
SALE00131,P014,WH01,2026-06-26,9,667.89,6011.01
SALE00132,P004,WH02,2026-07-05,12,197.5,2370.0
SALE00133,P010,WH02,2026-05-15,19,819.62,15572.78
SALE00134,P022,WH01,2026-07-07,10,3193.14,31931.4
SALE00135,P013,WH01,2026-05-29,20,4045.28,80905.6
SALE00136,P007,WH01,2026-05-01,10,1141.18,11411.8
SALE00137,P025,WH02,2026-05-18,9,3438.84,30949.56
SALE00138,P004,WH02,2026-06-11,1,197.5,197.5
SALE00139,P006,WH02,2026-06-25,5,1034.25,5171.25
SALE00140,P023,WH03,2026-07-08,8,858.84,6870.72
SALE00141,P022,WH01,2026-07-11,12,3193.14,38317.68
SALE00142,P024,WH02,2026-06-20,2,4948.14,9896.28
SALE00143,P015,WH02,2026-05-03,3,2782.6,8347.8
SALE00144,P019,WH03,2026-06-24,13,1425.97,18537.61
SALE00145,P010,WH02,2026-06-23,4,819.62,3278.48
SALE00146,P011,WH03,2026-05-03,6,509.09,3054.54
SALE00147,P023,WH01,2026-06-28,12,858.84,10306.08
SALE00148,P004,WH02,2026-06-25,8,197.5,1580.0
SALE00149,P017,WH02,2026-06-21,3,3323.25,9969.75
SALE00150,P024,WH01,2026-06-09,11,4948.14,54429.54
SALE00151,P025,WH01,2026-06-12,6,3438.84,20633.04
SALE00152,P021,WH03,2026-07-05,4,3524.01,14096.04
SALE00153,P007,WH02,2026-07-05,12,1141.18,13694.16
SALE00154,P008,WH01,2026-05-19,4,100.0,400.0
SALE00155,P007,WH03,2026-06-02,6,1141.18,6847.08
SALE00156,P025,WH01,2026-05-20,3,3438.84,10316.52
SALE00157,P015,WH03,2026-07-03,19,2782.6,52869.4
SALE00158,P022,WH03,2026-06-27,19,3193.14,60669.66
SALE00159,P021,WH01,2026-06-11,11,3524.01,38764.11
SALE00160,P003,WH02,2026-06-26,16,480.35,7685.6
SALE00161,P009,WH01,2026-06-08,19,3505.79,66610.01
SALE00162,P017,WH02,2026-06-15,3,3323.25,9969.75
SALE00163,P015,WH01,2026-06-29,2,2782.6,5565.2
SALE00164,P010,WH03,2026-06-17,3,819.62,2458.86
SALE00165,P020,WH03,2026-05-12,20,1882.4,37648.0
SALE00166,P015,WH03,2026-06-19,19,2782.6,52869.4
SALE00167,P015,WH03,2026-05-06,19,2782.6,52869.4
SALE00168,P011,WH02,2026-05-25,20,509.09,10181.8
SALE00169,P005,WH02,2026-07-04,2,2551.51,5103.02
SALE00170,P011,WH03,2026-05-14,3,509.09,1527.27
SALE00171,P002,WH03,2026-05-23,8,1154.89,9239.12
SALE00172,P015,WH03,2026-06-26,17,2782.6,47304.2
SALE00173,P012,WH02,2026-05-21,12,4245.1,50941.2
SALE00174,P014,WH03,2026-06-19,11,667.89,7346.79
SALE00175,P021,WH01,2026-05-07,11,3524.01,38764.11
SALE00176,P004,WH03,2026-06-12,18,197.5,3555.0
SALE00177,P010,WH03,2026-06-19,9,819.62,7376.58
SALE00178,P011,WH03,2026-05-20,3,509.09,1527.27
SALE00179,P012,WH03,2026-05-19,10,4245.1,42451.0
SALE00180,P005,WH03,2026-06-20,20,2551.51,51030.2
SALE00181,P010,WH02,2026-05-11,18,819.62,14753.16
SALE00182,P005,WH01,2026-06-12,17,2551.51,43375.67
SALE00183,P017,WH01,2026-06-24,12,3323.25,39879.0
SALE00184,P010,WH01,2026-06-16,6,819.62,4917.72
SALE00185,P025,WH01,2026-06-13,16,3438.84,55021.44
SALE00186,P005,WH01,2026-05-29,5,2551.51,12757.55
SALE00187,P004,WH03,2026-06-07,17,197.5,3357.5
SALE00188,P002,WH03,2026-07-07,11,1154.89,12703.79
SALE00189,P020,WH01,2026-05-17,13,1882.4,24471.2
SALE00190,P006,WH01,2026-05-21,20,1034.25,20685.0
SALE00191,P002,WH02,2026-06-26,14,1154.89,16168.46
SALE00192,P015,WH02,2026-05-31,20,2782.6,55652.0
SALE00193,P008,WH01,2026-06-27,18,100.0,1800.0
SALE00194,P016,WH02,2026-06-09,7,2907.89,20355.23
SALE00195,P015,WH02,2026-06-26,10,2782.6,27826.0
SALE00196,P017,WH01,2026-07-04,14,3323.25,46525.5
SALE00197,P020,WH02,2026-05-26,5,1882.4,9412.0
SALE00198,P021,WH02,2026-05-07,16,3524.01,56384.16
SALE00199,P004,WH01,2026-07-10,17,197.5,3357.5
SALE00200,P003,WH02,2026-06-06,6,480.35,2882.1
SALE00201,P017,WH02,2026-06-27,5,3323.25,16616.25
SALE00202,P008,WH02,2026-05-12,15,100.0,1500.0
SALE00203,P014,WH02,2026-05-04,2,667.89,1335.78
SALE00204,P012,WH02,2026-07-04,8,4245.1,33960.8
SALE00205,P012,WH01,2026-05-11,8,4245.1,33960.8
SALE00206,P004,WH01,2026-06-10,11,197.5,2172.5
SALE00207,P002,WH02,2026-05-18,10,1154.89,11548.9
SALE00208,P025,WH02,2026-05-18,16,3438.84,55021.44
SALE00209,P003,WH02,2026-05-01,1,480.35,480.35
SALE00210,P005,WH03,2026-05-28,18,2551.51,45927.18
SALE00211,P014,WH02,2026-07-07,4,667.89,2671.56
SALE00212,P010,WH01,2026-05-31,4,819.62,3278.48
SALE00213,P014,WH02,2026-05-31,20,667.89,13357.8
SALE00214,P004,WH03,2026-05-09,16,197.5,3160.0
SALE00215,P001,WH03,2026-07-08,17,173.8,2954.6
SALE00216,P023,WH02,2026-05-31,5,858.84,4294.2
SALE00217,P001,WH02,2026-06-24,20,173.8,3476.0
SALE00218,P019,WH01,2026-05-31,14,1425.97,19963.58
SALE00219,P017,WH01,2026-05-11,12,3323.25,39879.0
SALE00220,P018,WH03,2026-07-07,17,4283.82,72824.94
SALE00221,P001,WH02,2026-07-10,13,173.8,2259.4
SALE00222,P021,WH02,2026-05-06,13,3524.01,45812.13
SALE00223,P024,WH02,2026-06-02,1,4948.14,4948.14
SALE00224,P012,WH03,2026-05-09,8,4245.1,33960.8
SALE00225,P025,WH03,2026-05-14,19,3438.84,65337.96
SALE00226,P005,WH02,2026-06-12,2,2551.51,5103.02
SALE00227,P011,WH03,2026-07-09,6,509.09,3054.54
SALE00228,P023,WH03,2026-06-29,16,858.84,13741.44
SALE00229,P005,WH03,2026-05-24,3,2551.51,7654.53
SALE00230,P002,WH01,2026-06-28,10,1154.89,11548.9
SALE00231,P007,WH02,2026-05-06,2,1141.18,2282.36
SALE00232,P017,WH03,2026-06-09,13,3323.25,43202.25
SALE00233,P009,WH03,2026-06-30,2,3505.79,7011.58
SALE00234,P010,WH01,2026-05-25,12,819.62,9835.44
SALE00235,P009,WH02,2026-06-12,4,3505.79,14023.16
SALE00236,P013,WH02,2026-06-25,15,4045.28,60679.2
SALE00237,P006,WH03,2026-06-13,16,1034.25,16548.0
SALE00238,P012,WH02,2026-07-03,17,4245.1,72166.7
SALE00239,P024,WH01,2026-05-11,14,4948.14,69273.96
SALE00240,P020,WH03,2026-06-25,6,1882.4,11294.4
SALE00241,P011,WH01,2026-06-07,4,509.09,2036.36
SALE00242,P022,WH02,2026-06-11,10,3193.14,31931.4
SALE00243,P020,WH01,2026-06-27,14,1882.4,26353.6
SALE00244,P012,WH01,2026-06-26,15,4245.1,63676.5
SALE00245,P020,WH02,2026-06-15,14,1882.4,26353.6
SALE00246,P003,WH02,2026-05-08,13,480.35,6244.55
SALE00247,P024,WH01,2026-07-05,6,4948.14,29688.84
SALE00248,P020,WH01,2026-05-19,15,1882.4,28236.0
SALE00249,P003,WH03,2026-05-17,8,480.35,3842.8
SALE00250,P012,WH03,2026-06-16,13,4245.1,55186.3
SALE00251,P020,WH03,2026-05-05,5,1882.4,9412.0
SALE00252,P012,WH02,2026-06-27,12,4245.1,50941.2
SALE00253,P019,WH03,2026-05-10,5,1425.97,7129.85
SALE00254,P013,WH03,2026-06-16,11,4045.28,44498.08
SALE00255,P008,WH01,2026-06-05,4,100.0,400.0
SALE00256,P016,WH02,2026-05-24,17,2907.89,49434.13
SALE00257,P004,WH02,2026-07-11,9,197.5,1777.5
SALE00258,P007,WH02,2026-06-27,20,1141.18,22823.6
SALE00259,P007,WH01,2026-07-02,4,1141.18,4564.72
SALE00260,P015,WH03,2026-05-10,6,2782.6,16695.6
SALE00261,P003,WH03,2026-06-26,11,480.35,5283.85
SALE00262,P023,WH03,2026-06-14,3,858.84,2576.52
SALE00263,P010,WH01,2026-07-09,10,819.62,8196.2
SALE00264,P012,WH01,2026-05-23,17,4245.1,72166.7
SALE00265,P007,WH01,2026-05-16,5,1141.18,5705.9
SALE00266,P001,WH03,2026-07-03,12,173.8,2085.6
SALE00267,P015,WH01,2026-06-17,18,2782.6,50086.8
SALE00268,P003,WH02,2026-05-12,10,480.35,4803.5
SALE00269,P017,WH02,2026-07-01,14,3323.25,46525.5
SALE00270,P005,WH03,2026-05-10,11,2551.51,28066.61
SALE00271,P015,WH03,2026-05-10,15,2782.6,41739.0
SALE00272,P012,WH03,2026-07-06,5,4245.1,21225.5
SALE00273,P025,WH02,2026-05-24,5,3438.84,17194.2
SALE00274,P002,WH03,2026-07-04,4,1154.89,4619.56
SALE00275,P010,WH01,2026-05-20,6,819.62,4917.72
SALE00276,P023,WH02,2026-06-11,8,858.84,6870.72
SALE00277,P010,WH02,2026-07-06,3,819.62,2458.86
SALE00278,P021,WH02,2026-05-26,18,3524.01,63432.18
SALE00279,P021,WH03,2026-05-17,10,3524.01,35240.1
SALE00280,P003,WH03,2026-07-08,17,480.35,8165.95
SALE00281,P019,WH01,2026-05-22,19,1425.97,27093.43
SALE00282,P022,WH03,2026-05-22,20,3193.14,63862.8
SALE00283,P019,WH01,2026-06-13,2,1425.97,2851.94
SALE00284,P002,WH02,2026-05-11,19,1154.89,21942.91
SALE00285,P025,WH02,2026-05-27,19,3438.84,65337.96
SALE00286,P016,WH02,2026-05-04,18,2907.89,52342.02
SALE00287,P016,WH03,2026-06-08,8,2907.89,23263.12
SALE00288,P010,WH01,2026-06-21,15,819.62,12294.3
SALE00289,P006,WH02,2026-05-08,15,1034.25,15513.75
SALE00290,P015,WH02,2026-07-01,7,2782.6,19478.2
SALE00291,P011,WH03,2026-05-19,11,509.09,5599.99
SALE00292,P013,WH02,2026-06-14,5,4045.28,20226.4
SALE00293,P018,WH02,2026-07-05,4,4283.82,17135.28
SALE00294,P015,WH02,2026-05-31,4,2782.6,11130.4
SALE00295,P008,WH01,2026-06-27,5,100.0,500.0
SALE00296,P010,WH03,2026-05-07,13,819.62,10655.06
SALE00297,P008,WH02,2026-06-23,6,100.0,600.0
SALE00298,P007,WH02,2026-06-10,6,1141.18,6847.08
SALE00299,P015,WH02,2026-07-05,16,2782.6,44521.6
SALE00300,P001,WH02,2026-07-03,3,173.8,521.4
SALE00301,P015,WH01,2026-07-04,8,2782.6,22260.8
SALE00302,P002,WH02,2026-06-15,2,1154.89,2309.78
SALE00303,P020,WH02,2026-07-03,16,1882.4,30118.4
SALE00304,P001,WH02,2026-07-08,4,173.8,695.2
SALE00305,P009,WH02,2026-05-18,12,3505.79,42069.48
SALE00306,P002,WH01,2026-06-16,13,1154.89,15013.57
SALE00307,P007,WH03,2026-07-11,12,1141.18,13694.16
SALE00308,P003,WH03,2026-06-06,13,480.35,6244.55
SALE00309,P025,WH02,2026-06-27,18,3438.84,61899.12
SALE00310,P005,WH02,2026-05-16,4,2551.51,10206.04
SALE00311,P011,WH02,2026-06-17,18,509.09,9163.62
SALE00312,P007,WH03,2026-05-19,20,1141.18,22823.6
SALE00313,P017,WH01,2026-06-21,2,3323.25,6646.5
SALE00314,P005,WH02,2026-05-05,11,2551.51,28066.61
SALE00315,P015,WH03,2026-07-06,5,2782.6,13913.0
SALE00316,P005,WH03,2026-07-05,11,2551.51,28066.61
SALE00317,P006,WH03,2026-06-10,13,1034.25,13445.25
SALE00318,P019,WH03,2026-06-08,11,1425.97,15685.67
SALE00319,P018,WH03,2026-07-05,16,4283.82,68541.12
SALE00320,P016,WH02,2026-06-08,1,2907.89,2907.89
SALE00321,P022,WH02,2026-06-12,4,3193.14,12772.56
SALE00322,P024,WH03,2026-06-09,1,4948.14,4948.14
SALE00323,P009,WH03,2026-06-30,19,3505.79,66610.01
SALE00324,P024,WH03,2026-05-30,2,4948.14,9896.28
SALE00325,P006,WH03,2026-07-01,17,1034.25,17582.25
SALE00326,P005,WH01,2026-06-18,8,2551.51,20412.08
SALE00327,P007,WH02,2026-05-15,1,1141.18,1141.18
SALE00328,P014,WH02,2026-06-10,5,667.89,3339.45
SALE00329,P014,WH03,2026-05-27,17,667.89,11354.13
SALE00330,P024,WH03,2026-06-30,2,4948.14,9896.28
SALE00331,P017,WH03,2026-05-18,7,3323.25,23262.75
SALE00332,P022,WH03,2026-06-11,16,3193.14,51090.24
SALE00333,P011,WH02,2026-06-18,6,509.09,3054.54
SALE00334,P011,WH02,2026-07-08,18,509.09,9163.62
SALE00335,P020,WH01,2026-06-03,16,1882.4,30118.4
SALE00336,P009,WH02,2026-06-01,18,3505.79,63104.22
SALE00337,P010,WH03,2026-05-29,10,819.62,8196.2
SALE00338,P023,WH02,2026-05-27,16,858.84,13741.44
SALE00339,P012,WH03,2026-07-01,18,4245.1,76411.8
SALE00340,P010,WH03,2026-06-05,4,819.62,3278.48
SALE00341,P013,WH02,2026-07-09,13,4045.28,52588.64
SALE00342,P010,WH02,2026-05-19,2,819.62,1639.24
SALE00343,P012,WH03,2026-05-11,15,4245.1,63676.5
SALE00344,P024,WH01,2026-06-02,16,4948.14,79170.24
SALE00345,P018,WH03,2026-05-26,9,4283.82,38554.38
SALE00346,P005,WH03,2026-06-04,4,2551.51,10206.04
SALE00347,P008,WH03,2026-05-31,2,100.0,200.0
SALE00348,P008,WH01,2026-07-07,8,100.0,800.0
SALE00349,P014,WH03,2026-05-13,11,667.89,7346.79
SALE00350,P004,WH01,2026-06-30,5,197.5,987.5
SALE00351,P006,WH03,2026-07-10,14,1034.25,14479.5
SALE00352,P016,WH02,2026-06-30,7,2907.89,20355.23
SALE00353,P010,WH01,2026-06-11,2,819.62,1639.24
SALE00354,P018,WH01,2026-05-30,2,4283.82,8567.64
SALE00355,P006,WH02,2026-06-23,2,1034.25,2068.5
SALE00356,P006,WH01,2026-07-03,10,1034.25,10342.5
SALE00357,P010,WH03,2026-05-02,19,819.62,15572.78
SALE00358,P011,WH02,2026-05-14,10,509.09,5090.9
SALE00359,P017,WH01,2026-07-09,16,3323.25,53172.0
SALE00360,P015,WH01,2026-07-04,9,2782.6,25043.4
SALE00361,P011,WH03,2026-05-15,6,509.09,3054.54
SALE00362,P021,WH03,2026-06-28,9,3524.01,31716.09
SALE00363,P001,WH02,2026-05-24,11,173.8,1911.8
SALE00364,P006,WH03,2026-05-25,20,1034.25,20685.0
SALE00365,P014,WH02,2026-06-21,17,667.89,11354.13
SALE00366,P013,WH01,2026-05-12,4,4045.28,16181.12
SALE00367,P016,WH01,2026-05-18,11,2907.89,31986.79
SALE00368,P009,WH01,2026-05-01,13,3505.79,45575.27
SALE00369,P025,WH02,2026-06-27,9,3438.84,30949.56
SALE00370,P019,WH01,2026-06-08,19,1425.97,27093.43
SALE00371,P021,WH03,2026-06-03,12,3524.01,42288.12
SALE00372,P002,WH02,2026-05-31,4,1154.89,4619.56
SALE00373,P006,WH03,2026-06-09,13,1034.25,13445.25
SALE00374,P023,WH03,2026-07-04,10,858.84,8588.4
SALE00375,P021,WH02,2026-05-16,10,3524.01,35240.1
SALE00376,P008,WH02,2026-05-29,5,100.0,500.0
SALE00377,P015,WH02,2026-05-20,20,2782.6,55652.0
SALE00378,P023,WH02,2026-06-23,18,858.84,15459.12
SALE00379,P022,WH01,2026-07-08,7,3193.14,22351.98
SALE00380,P017,WH03,2026-05-11,15,3323.25,49848.75
SALE00381,P003,WH01,2026-06-16,19,480.35,9126.65
SALE00382,P018,WH01,2026-05-08,17,4283.82,72824.94
SALE00383,P005,WH02,2026-07-08,6,2551.51,15309.06
SALE00384,P015,WH03,2026-07-06,4,2782.6,11130.4
SALE00385,P023,WH02,2026-05-27,19,858.84,16317.96
SALE00386,P017,WH01,2026-05-12,15,3323.25,49848.75
SALE00387,P005,WH02,2026-06-28,17,2551.51,43375.67
SALE00388,P019,WH03,2026-06-28,2,1425.97,2851.94
SALE00389,P022,WH03,2026-06-29,10,3193.14,31931.4
SALE00390,P013,WH01,2026-05-03,9,4045.28,36407.52
SALE00391,P019,WH01,2026-05-28,3,1425.97,4277.91
SALE00392,P012,WH03,2026-06-24,3,4245.1,12735.3
SALE00393,P003,WH01,2026-05-08,16,480.35,7685.6
SALE00394,P014,WH01,2026-06-06,6,667.89,4007.34
SALE00395,P012,WH02,2026-06-23,13,4245.1,55186.3
SALE00396,P013,WH03,2026-06-18,3,4045.28,12135.84
SALE00397,P005,WH01,2026-07-09,12,2551.51,30618.12
SALE00398,P018,WH03,2026-05-23,13,4283.82,55689.66
SALE00399,P024,WH01,2026-05-17,8,4948.14,39585.12
SALE00400,P010,WH03,2026-05-03,15,819.62,12294.3
