inventory_id,product_id,product_name,category,warehouse_id,warehouse_name,quantity_on_hand,reorder_threshold,stock_value,last_updated
INV0056,P019,Product 19,Grocery,WH02,Delhi North,109,119,155430.73,2026-07-03
INV0057,P019,Product 19,Grocery,WH03,Mumbai West,370,123,527608.9,2026-07-10
INV0058,P020,Product 20,Stationery,WH01,Jaipur Central,242,81,455540.80000000005,2026-07-08
INV0059,P020,Product 20,Stationery,WH02,Delhi North,413,102,777431.2000000001,2026-07-04
INV0060,P020,Product 20,Stationery,WH03,Mumbai West,48,62,90355.20000000001,2026-07-11
INV0061,P021,Product 21,Furniture,WH01,Jaipur Central,220,95,775282.2000000001,2026-07-07
INV0062,P021,Product 21,Furniture,WH02,Delhi North,210,109,740042.1000000001,2026-07-01
INV0063,P021,Product 21,Furniture,WH03,Mumbai West,344,133,1212259.4400000002,2026-07-11
INV0064,P022,Product 22,Apparel,WH01,Jaipur Central,50,57,159657.0,2026-07-07
INV0065,P022,Product 22,Apparel,WH02,Delhi North,372,93,1187848.0799999998,2026-07-02
INV0066,P022,Product 22,Apparel,WH03,Mumbai West,127,74,405528.77999999997,2026-07-04
INV0067,P023,Product 23,Stationery,WH01,Jaipur Central,274,107,235322.16,2026-07-03
INV0068,P023,Product 23,Stationery,WH02,Delhi North,216,73,185509.44,2026-07-05
INV0069,P023,Product 23,Stationery,WH03,Mumbai West,236,81,202686.24000000002,2026-07-02
INV0070,P024,Product 24,Furniture,WH01,Jaipur Central,226,120,1118279.6400000001,2026-07-02
INV0071,P024,Product 24,Furniture,WH02,Delhi North,25,133,123703.50000000001,2026-07-09
INV0072,P024,Product 24,Furniture,WH03,Mumbai West,428,51,2117803.92,2026-07-02
INV0073,P025,Product 25,Stationery,WH01,Jaipur Central,474,146,1630010.1600000001,2026-07-04
INV0074,P025,Product 25,Stationery,WH02,Delhi North,85,102,292301.4,2026-07-08
INV0075,P025,Product 25,Stationery,WH03,Mumbai West,246,77,845954.64,2026-07-07
